user_id,username,password,name,email,Address,gender,phone,exp,coin,avatar_url,created_at,deleted_at
5dcdb121-85df-487c-8d4a-b4fd5033c9c0,oscar.simanjuntak,secret123,Oscar Simanjuntak,oscar.simanjuntak@example.com,"Jl. Kamboja No. 15, Jayapura",Laki-laki,081234567804,350,140,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
5b9a23e5-e562-4fae-b11c-787e655a67d7,ahmad.fauzi,password123,Ahmad Fauzi,ahmad.fauzi@example.com,"Jl. Merdeka No. 1, Jakarta",Laki-laki,081234567890,200,129,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
d4a59d1b-38fa-4736-88d7-00cdc02ef5be,budi.santoso,passw0rd,Budi Santoso,budi.santoso@example.com,"Jl. Pahlawan No. 2, Surabaya",Laki-laki,081234567891,50,124,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
6932e20c-3c55-4d95-91c5-ce316cc5843f,citra.lestari,mypassword,Citra Lestari,citra.lestari@example.com,"Jl. Melati No. 3, Bandung",Perempuan,081234567892,0,0,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
8f25169f-5084-45c3-a99f-40daf59485d4,dewi.ayu,securepass,Dewi Ayu,dewi.ayu@example.com,"Jl. Mawar No. 4, Yogyakarta",Perempuan,081234567893,0,24,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
b7352ca3-fae1-4f3c-85b9-095de368b706,eko.prasetyo,password321,Eko Prasetyo,eko.prasetyo@example.com,"Jl. Kenanga No. 5, Semarang",Laki-laki,081234567894,200,100,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
29a1ee6d-05bd-4f11-b42a-a6769fd6a509,fani.nugraha,pass1234,Fani Nugraha,fani.nugraha@example.com,"Jl. Teratai No. 6, Medan",Perempuan,081234567895,250,125,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
fbfccf91-f6ea-4b4f-952e-f371e9c69d9c,gilang.permana,qwerty123,Gilang Permana,gilang.permana@example.com,"Jl. Anggrek No. 7, Bali",Laki-laki,081234567896,80,64,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
4fe8e112-e3d7-4468-bfd0-24058790bb6e,hana.putri,letmein,Hana Putri,hana.putri@example.com,"Jl. Dahlia No. 8, Makassar",Perempuan,081234567897,110,55,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
56a85666-b5aa-4b39-8823-99c7f789ac7b,indra.maulana,welcome1,Indra Maulana,indra.maulana@example.com,"Jl. Flamboyan No. 9, Malang",Laki-laki,081234567898,90,45,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
c0045c29-d1fa-4524-85fd-3e9341f99c6a,surya.rahmat,trustno1,Surya Rahmat,suryarahmat@example.com,"Jl. Cempaka No. 10, Solo",Laki-laki,081234567899,0,0,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
6220c455-f14e-42d3-a73d-2f4573f4cf52,kiki.amalia,password456,Kiki Amalia,kiki.amalia@example.com,"Jl. Kamboja No. 11, Pekanbaru",Perempuan,081234567800,40,20,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
35e243e9-d0b1-40b7-b216-5bc6cc15e243,lina.marlina,mypassword2,Lina Marlina,lina.marlina@example.com,"Jl. Bougenville No. 12, Palembang",Tidak Terdefinisi,081234567801,0,0,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
8f14519b-ea61-457b-bf96-90504221de90,mulyadi.saputra,pass2022,Mulyadi Saputra,mulyadi.saputra@example.com,"Jl. Tulip No. 13, Balikpapan",Tidak Terdefinisi,081234567802,0,0,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
3fb1eb90-805f-4727-9f7d-a6fefc6115f9,nina.agustina,password789,Nina Agustina,nina.agustina@example.com,"Jl. Sakura No. 14, Pontianak",Tidak Terdefinisi,081234567803,100,50,https://storage.googleapis.com/alterra-greeve/greeve/e7a843f2-232f-42ab-a968-a9af6fef5112DSC_8862.JPG,2024-06-01 16:00:00,
