admins_id,created_at,updated_at,deleted_at,name,username,email,password
06db6d61-e7c8-4126-ab0f-f2b6bc1458d1,2024-06-12 03:19:26.440,2024-06-12 03:19:26.440,,ahmadrizkiputra,qwerty789,ahmadrizkiputra@example.com,$2a$14$YXJsvoOJD1OAvkVSQzJ3Yev3/AzimjfKOnNuIsn2hHaf/H9H89Jae
14adafd7-de6c-4586-a35e-3cf17ef3d351,2024-06-12 03:19:19.901,2024-06-12 03:19:19.901,,admin2,admin2,admin2@greeve.store,$2a$14$ZG0UTKWQIC4FF6DbMFmqMubakKQhVFgI5kkWjjbZXUDIXGnyig4km
16930c07-bdb5-49d2-8a81-32591833241b,2024-06-12 03:19:17.683,2024-06-12 03:19:17.683,,admin,admin,admin@greeve.store,$2a$14$iX1ldxShirAG4V0mx0868OV0SZCid1aPj3zJykaU074QWwvcKlQSi
46a36705-f7d0-48a4-bb69-8cd5826b0da5,2024-06-12 03:19:41.707,2024-06-12 03:19:41.707,,tiaraputri,mypassword1,tiaraputri@example.com,$2a$14$3VUlYR4OoIQZig/BJRMe5u5xEl0ObDf/LZHckFqETWRhqgQMpGeJK
6112389a-2e44-4c78-ae64-849a5af60678,2024-06-12 03:19:32.975,2024-06-12 03:19:32.975,,dewianinditya,superstrong,dewianinditya@example.com,$2a$14$m.CX7D0K5JeLObl2oWMzAeBVeJMNnPdrj0GB/OCPzSV8UhBstYwVu
6562a858-84e7-412b-9e03-542f951fe0a2,2024-06-12 03:19:39.525,2024-06-12 03:19:39.525,,ilhamfauzan,password1,ilhamfauzan@example.com,$2a$14$fhaMW8L7UCn/5prB6r.OHuNFMjj43HJ6kUZK7gB6BvyOBztfgHKK.
6a53c2db-2fa5-47df-8462-baea4308d48f,2024-06-12 03:19:28.617,2024-06-12 03:19:28.617,,sucimutiara,12345abcd,sucimutiara@example.com,$2a$14$OLEKsf/zKkqTHfPHSfSp5eCva2vjt9mbFTk4suHPoUkkZwasS328y
7b8df5e7-c440-44f0-898a-d2714f762842,2024-06-12 03:19:48.247,2024-06-12 03:19:48.247,,yudhistirapratama,password123!,yudhistirapratama@example.com,$2a$14$F.A58Cb6MhlaNxUJBlMKPOsg.V7R/gBH2Q.6rvY8TNHaT6d7HKq9G
90aae29b-bf80-44bd-ab59-e7388e84e27f,2024-06-12 03:19:30.799,2024-06-12 03:19:30.799,,ariefulhaq,mypassword,ariefulhaq@example.com,$2a$14$vSzc8Gf2y773zF8TZI8Ri.zBL1Ah8NHfAueA3pMzNNPiPpG5yQCK.
98f9e9d2-9b19-4e14-b148-c1bb84104d07,2024-06-12 03:19:50.441,2024-06-12 03:19:50.441,,aisyahnuraini,12345678,aisyahnuraini@example.com,$2a$14$MujNMr8/8ZskiJ14JIHnxuKOHs./HwEYOAShp/EPwv25SSPSuN4hu
9e66633a-cc3b-4887-8c44-dc8e4bf3530a,2024-06-12 03:19:35.166,2024-06-12 03:19:35.166,,rahmandarmawan,password!@#,rahmandarmawan@example.com,$2a$14$fDRoNMl5.NQrM/Z.4OyxDOjrlcUonn0JlYtT8diV/N8ILWMchTv/u
b0835feb-2404-4a28-846a-52fafc8e6902,2024-06-12 03:19:37.345,2024-06-12 03:19:37.345,,natasyanurhaliza,123456789,natasyanurhaliza@example.com,$2a$14$b4X2E8dI5lPN6q7meexaIucN2nTM65sceoPaYyYNVNOUiP1IGeyYu
b1e7fdc4-6465-4f06-8914-85b36255368e,2024-06-12 03:19:22.074,2024-06-12 03:19:22.074,,susantowijaya,password123,susantowijaya@example.com,$2a$14$FX7yEl6OraSKq5XuDGCU8e3CIN5X5Mic.xIuvhRKgFari4uTEGUqi
bb2c878b-2f05-4964-9307-a46d6bbccd31,2024-06-12 03:19:46.066,2024-06-12 03:19:46.066,,rianasafitri,strongpassword,rianasafitri@example.com,$2a$14$Fm6qZWFkHY5V5IE531pyx.qqdri8hoScDXKLJu.MscuGUZgG0L9iC
cea38442-5ede-409c-930f-d5f7dd772d5e,2024-06-12 03:19:52.619,2024-06-12 03:19:52.619,,rizkiadnan,mypassword2,rizkiadnan@example.com,$2a$14$QyzWg9De0VGwhLKNT69A.OVb843ZCDnsJIrAzpGw6cx9MZgamLF2K
cf98c726-fb72-4687-9c88-e8ce671c32d6,2024-06-12 03:19:24.252,2024-06-12 03:19:24.252,,indrianisetiawati,secret456,indrianisetiawati@example.com,$2a$14$.9I1XGWY90OjOuimTFnBsOINQk9DkQJCku5Sgi081Db04w.oernJK
d1e93661-00b0-41a4-ab51-f2afaef8f86f,2024-06-12 03:19:43.885,2024-06-12 03:19:43.885,,gilangpratama,secretpass,gilangpratama@example.com,$2a$14$0ytDXdQD0qy92dDYDKNoA.iJjt5FIP0O1Cbr4Sn.Rq3epUblY2efu
